id_municipio_tjsp,raj,municipio_tjsp,comarca_tjsp,comarca_sede,imoveis
6590,4ª RAJ Campinas,Bragança Paulista,Bragança Paulista,1,Fórum Bragança Paulista III - (CEJUSC)
6584,10ª RAJ Sorocaba,Bom Sucesso de Itararé,Itararé,0,Fórum Itararé (Dr. Antônio José Luciano Vieira)
6596,2ª RAJ Araçatuba,Buritama,Buritama,1,Fórum Buritama
6595,10ª RAJ Sorocaba,Buri,Buri,1,Fórum da Comarca de Buri
6597,6ª RAJ Ribeirão Preto,Buritizal,Igarapava,0,"Fórum ""David Pimentel"""
6599,10ª RAJ Sorocaba,Cabreúva,Cabreúva,1,"Fórum ""Desembargador Geraldo de Faria Lemos Pinheiro"""
6606,5ª RAJ Presidente Prudente,Caiuá,Presidente Epitácio,0,Fórum Presidente Epitácio
6606,5ª RAJ Presidente Prudente,Caiuá,Presidente Epitácio,0,Fórum Presidente Epitácio II (CEJUSC)
6603,2ª RAJ Araçatuba,Cafelândia,Cafelândia,1,Fórum Cafelândia I - (Principal)
6603,2ª RAJ Araçatuba,Cafelândia,Cafelândia,1,Fórum Cafelândia II - (JEC e CEJUSC)
6603,2ª RAJ Araçatuba,Cafelândia,Cafelândia,1,Fórum Cafelândia III - (JEC - UAAJ - JÚLIO MESQUITA )
6611,10ª RAJ Sorocaba,Campina do Monte Alegre,Angatuba,0,Fórum I Angatuba
6611,10ª RAJ Sorocaba,Campina do Monte Alegre,Angatuba,0,Fórum II Angatuba (Residência Oficial)
6598,3ª RAJ Bauru,Cabrália Paulista,Duartina,0,Fórum da Comarca de Duartina (Prof. Dr. Silvio Marques Junior)
6605,4ª RAJ Campinas,Caieiras,Caieiras,1,Fórum de Caieiras I
6605,4ª RAJ Campinas,Caieiras,Caieiras,1,Fórum de Caieiras II
6609,8ª RAJ São José do Rio Preto,Cajobi,Olímpia,0,Fórum Olímpia I - (Principal)
6609,8ª RAJ São José do Rio Preto,Cajobi,Olímpia,0,Fórum Olímpia II (3ª Vara Cível)
6609,8ª RAJ São José do Rio Preto,Cajobi,Olímpia,0,Fórum Olímpia III - (Vara do Juizado Especial Cível e Criminal)
6609,8ª RAJ São José do Rio Preto,Cajobi,Olímpia,0,Fórum Olímpia IV - (Setor das Execuções Fiscais)
6609,8ª RAJ São José do Rio Preto,Cajobi,Olímpia,0,Fórum Olímpia V - (CEJUSC)
6609,8ª RAJ São José do Rio Preto,Cajobi,Olímpia,0,Fórum Olímpia VI - (Anexo do JEC - UAAJ - CAJOBI)
6608,7ª RAJ Santos,Cajati,Jacupiranga,0,Fórum Jacupiranga I
6610,6ª RAJ Ribeirão Preto,Cajuru,Cajuru,1,Fórum Cajuru (Dr. Amaury Manço)
6604,5ª RAJ Presidente Prudente,Caiabu,Regente Feijó,0,Fórum da Comarca de Regente Feijó I
6607,4ª RAJ Campinas,Cajamar,Cajamar,1,Fórum I Cajamar - (Desembargador Marcos Nogueira Garcez)
