id_municipio_tjsp,raj,comarca_tjsp,unidades,comarca_tjsp_temp
6729,10ª RAJ Sorocaba,Ibiúna,Fórum Ibiúna II - (Juizado Especial Cível e Criminal),ibiuna
6731,5ª RAJ Presidente Prudente,Iepê,Fórum Iepê I,iepe
6731,5ª RAJ Presidente Prudente,Iepê,Fórum Iepê II (Anexo do JEC - Nantes),iepe
6733,6ª RAJ Ribeirão Preto,Igarapava,"Fórum ""David Pimentel""",igarapava
6735,7ª RAJ Santos,Iguape,Fórum Iguape I,iguape
6735,7ª RAJ Santos,Iguape,Fórum Iguape III - (Residência Oficial),iguape
6735,7ª RAJ Santos,Iguape,Fórum Iguape IV,iguape
6735,7ª RAJ Santos,Iguape,Fórum Iguape IV - (CEJUSC),iguape
6738,2ª RAJ Araçatuba,Ilha Solteira,Fórum da Comarca de Ilha Solteira,ilha solteira
6736,9ª RAJ São José dos Campos,Ilhabela,Fórum Dr. Manoel Pedro Pimentel,ilhabela
6739,10ª RAJ Sorocaba,Indaiatuba,Fórum Indaiatuba I - (Principal),indaiatuba
6739,10ª RAJ Sorocaba,Indaiatuba,Fórum Indaiatuba V - (CEJUSC),indaiatuba
6743,3ª RAJ Bauru,Ipaussu,Fórum Ipaussu III (Terreno),ipaussu
6743,3ª RAJ Bauru,Ipaussu,Fórum Ipaussu IV,ipaussu
6748,6ª RAJ Ribeirão Preto,Ipuã,Fórum Ipuã,ipua
6748,6ª RAJ Ribeirão Preto,Ipuã,Fórum Ipuâ II - (Juizado Especial),ipua
6752,10ª RAJ Sorocaba,Itaberá,Fórum I Itaberá,itabera
6752,10ª RAJ Sorocaba,Itaberá,Fórum II Itaberá (CEJUSC),itabera
6753,3ª RAJ Bauru,Itaí,Fórum Itaí,itai
6754,8ª RAJ São José do Rio Preto,Itajobi,FORO DA COMARCA DE ITAJOBI,itajobi
6756,7ª RAJ Santos,Itanhaém,Fórum Itanhaém - Desembargador Nelson Pinheiro Franco,itanhaem
6756,7ª RAJ Santos,Itanhaém,Fórum Itanhaém III (Residência Oficial),itanhaem
6758,1ª RAJ Grande São Paulo,Itapecerica da Serra,Fórum I Itapecerica da Serra,itapecerica da serra
6759,10ª RAJ Sorocaba,Itapetininga,Fórum Itapetininga I - (Desembargador Bernardes Júnior),itapetininga
6759,10ª RAJ Sorocaba,Itapetininga,Fórum Itapetininga II (Criminal) Juiz Paulo Rubens Soares Hungria,itapetininga
6760,10ª RAJ Sorocaba,Itapeva,Fórum Itapeva I - Desembargador Euclides de Campos,itapeva
6760,10ª RAJ Sorocaba,Itapeva,Fórum Itapeva II - (Anexo do JEC - UAAJ - FAIT),itapeva
6761,1ª RAJ Grande São Paulo,Itapevi,Fórum Itapevi,itapevi
6762,4ª RAJ Campinas,Itapira,Fórum I Itapira,itapira
6762,4ª RAJ Campinas,Itapira,Fórum II Itapira (CEJUSC),itapira
6765,10ª RAJ Sorocaba,Itaporanga,Fórum Itaporanga- DESEMBARGADOR PLÍNIO DE CARVALHO PINTO,itaporanga
6768,1ª RAJ Grande São Paulo,Itaquaquecetuba,Fórum II de Itaquaquecetuba (CEJUSC),itaquaquecetuba
6768,1ª RAJ Grande São Paulo,Itaquaquecetuba,Fórum I Desembargador Mário Hoeppener Dutra - Itaquaquecetuba,itaquaquecetuba
6769,10ª RAJ Sorocaba,Itararé,Fórum Itararé (Dr. Antônio José Luciano Vieira),itarare
6770,7ª RAJ Santos,Itariri,Fórum Itariri,itariri
6771,4ª RAJ Campinas,Itatiba,Fórum da Comarca de Itatiba,itatiba
6772,3ª RAJ Bauru,Itatinga,CEJUSC - Itatinga,itatinga
